Area of Study,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
Natural and Physical Sciences,0.50,4.14,3.40,2.87,3.00,3.12,3.19,3.02,3.03,2.95,3.08,3.17,2.54
Information Technology,1.35,4.26,4.61,4.40,5.74,5.71,3.87,3.01,2.53,2.02,1.53,1.08,0.39
Engineering and Related Technologies,6.62,9.68,11.71,11.96,11.79,12.09,12.92,14.02,16.33,16.58,17.23,18.62,17.94
Architecture and Building,4.38,5.99,5.71,5.83,5.14,4.86,5.20,5.31,5.29,5.41,5.22,5.28,5.11
"Agriculture, Environmental and Related Studies",1.92,1.97,1.78,1.65,1.80,2.05,2.20,2.13,2.23,2.05,1.83,1.66,1.40
Health,4.45,10.19,11.61,11.37,9.96,9.32,9.62,10.01,10.45,11.68,11.17,9.93,9.47
Education,1.87,4.39,6.13,6.45,6.55,7.24,7.75,8.24,8.29,10.18,12.13,11.56,9.73
Management and Commerce,11.03,16.54,18.92,21.29,22.94,22.99,22.40,21.47,19.99,18.13,16.68,15.46,11.55
Society and Culture,9.21,12.80,12.62,12.12,12.06,12.67,13.19,13.26,12.94,12.74,12.08,10.97,7.20
Creative Arts,4.39,6.73,5.68,4.99,4.50,4.08,3.53,3.06,2.66,2.44,2.30,2.17,1.85
"Food, Hospitality and Personal Services",8.59,7.29,5.70,5.77,5.51,4.86,4.82,4.73,4.16,3.52,3.20,3.43,2.58
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
